contentid,contenttypeid,title,addr1,addr2,zipcode,tel,mapx,mapy,mlevel,firstimage,firstimage2,cpyrhtDivCd,createdtime,modifiedtime,areacode,sigungucode,lDongRegnCd,lDongSignguCd,cat1,cat2,cat3,lclsSystm1,lclsSystm2,lclsSystm3
2836994,39,정가네밥상,제주특별자치도 제주시 아란서길 110 (아라일동),,63239,,126.5399668613,33.4687562651,6,http://tong.visitkorea.or.kr/cms/resource/83/2836983_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2836983_image3_1.JPG,Type3,20220816144516,20250626145831,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2837033,39,협재해물라면오빠네,제주특별자치도 제주시 한림읍 한림로 475,,63012,,126.2510184831,33.4020118583,6,http://tong.visitkorea.or.kr/cms/resource/25/2837025_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/2837025_image3_1.JPG,Type3,20220816145351,20250529182406,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2837068,39,카페 나모나모베이커리,제주특별자치도 제주시 도두봉6길 4 (도두일동),,63112,,126.4719635282,33.5089340685,6,http://tong.visitkorea.or.kr/cms/resource/52/2837052_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2837052_image3_1.jpg,Type3,20220816151029,20250530102833,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2837142,39,동광메밀짬뽕,제주특별자치도 서귀포시 신화역사로 581,,63524,,126.3497119467,33.3105401917,6,http://tong.visitkorea.or.kr/cms/resource/27/2837127_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2837127_image3_1.jpg,Type3,20220816154904,20250530103810,39,3,50,130,A05,A0502,A05020400,FD,FD02,FD020100
2837181,39,가시어멍김밥,제주특별자치도 제주시 월랑로 36,,63097,,126.4763302701,33.4888641378,6,http://tong.visitkorea.or.kr/cms/resource/75/2837175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2837175_image3_1.jpg,Type3,20220816161254,20250530104902,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2837222,12,코난해변,제주특별자치도 제주시 구좌읍 행원리,575-6,63358,,126.8111907275,33.5575720498,6,https://tong.visitkorea.or.kr/cms/resource/06/3408206_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/06/3408206_image3_1.png,Type1,20220816163916,20260610083438,,,50,110,,,,NA,NA02,NA020900
2837242,39,리보스코화덕피자,제주특별자치도 제주시 수목원길 27 (연동),,63141,,126.4878685946,33.4694748009,6,http://tong.visitkorea.or.kr/cms/resource/32/2837232_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2837232_image3_1.jpg,Type3,20220816165130,20250530110809,39,4,50,110,A05,A0502,A05020200,FD,FD02,FD020300
2837996,39,말고기연구소,제주특별자치도 제주시 북성로 43 (삼도이동),,63166,,126.5201452985,33.5155924319,6,http://tong.visitkorea.or.kr/cms/resource/88/2837988_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2837988_image3_1.jpg,Type3,20220817145021,20250530112258,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2838059,39,미엘드세화,제주특별자치도 제주시 구좌읍 해맞이해안로 1464,,63361,,126.8618543076,33.5245497062,6,http://tong.visitkorea.or.kr/cms/resource/52/2838052_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/52/2838052_image3_1.JPG,Type3,20220817151205,20250530130409,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2838079,39,비마이게스트,제주특별자치도 제주시 한림읍 한림로 406,,63011,,126.2454968306,33.3979927727,6,http://tong.visitkorea.or.kr/cms/resource/69/2838069_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2838069_image3_1.jpg,Type3,20220817151834,20250530131501,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2838100,39,스시애월,제주특별자치도 제주시 애월읍 장전로 57,,63055,,126.3842807673,33.4522250681,6,http://tong.visitkorea.or.kr/cms/resource/86/2838086_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2838086_image3_1.jpg,Type3,20220817152536,20250530132319,39,4,50,110,A05,A0502,A05020300,FD,FD02,FD020200
2839718,39,나비정원,제주특별자치도 서귀포시 대정읍 신영로 60-7,,63506,,126.2492726682,33.2204763428,6,http://tong.visitkorea.or.kr/cms/resource/16/2839716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2839716_image3_1.jpg,Type3,20220819130459,20250530152023,39,3,50,130,A05,A0502,A05020900,FD,FD05,FD050100
2839730,39,서귀피안 보래드 베이커스,제주특별자치도 서귀포시 보목로64번길 178 (보목동),,63599,,126.5905508715,33.2444429618,6,http://tong.visitkorea.or.kr/cms/resource/22/2839722_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2839722_image3_1.jpg,Type3,20220819131129,20250530154409,39,3,50,130,A05,A0502,A05020900,FD,FD05,FD050100
2839742,39,성산흑돼지두루치기 성산일출봉점,제주특별자치도 서귀포시 성산읍 한도로 255,,63643,,126.9348243278,33.4662128917,6,http://tong.visitkorea.or.kr/cms/resource/36/2839736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2839736_image3_1.jpg,Type3,20220819131647,20250602130542,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2839759,39,니모메,제주특별자치도 제주시 일주서로 7335-8,,63068,,126.4309535489,33.4937545425,6,,,,20220819132305,20250320113918,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
